City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Chichli,22.8333,78.8167,71.58,20,0,1.03,IN,1614786819
Punta Arenas,-53.15,-70.9167,57.2,54,40,6.91,CL,1614786518
Barrow,71.2906,-156.7887,-14.8,76,90,12.66,US,1614786550
Dingle,10.9995,122.6711,75.2,88,18,6.46,PH,1614786567
Busselton,-33.65,115.3333,71.01,88,100,5.01,AU,1614786407
Kaitangata,-46.2817,169.8464,52.0,80,30,9.66,NZ,1614786820
Champerico,14.3,-91.9167,84.2,61,40,6.06,GT,1614786821
Arraial do Cabo,-22.9661,-42.0278,91.4,62,40,17.27,BR,1614786821
Havelock,34.8791,-76.9013,51.01,61,90,13.8,US,1614786528
Bluff,-46.6,168.3333,53.01,80,63,15.01,NZ,1614786821
New Norfolk,-42.7826,147.0587,57.99,77,100,1.01,AU,1614786822
Tiksi,71.6872,128.8694,-19.89,88,100,8.34,RU,1614786822
Saint-Philippe,-21.3585,55.7679,78.8,83,0,21.85,RE,1614786593
Klaksvík,62.2266,-6.589,39.2,81,75,13.8,FO,1614786823
Yatou,37.15,122.3833,39.42,81,77,11.05,CN,1614786823
Būkān,36.521,46.2089,44.4,65,46,10.18,IR,1614786823
Nanortalik,60.1432,-45.2371,38.55,74,74,20.76,GL,1614786824
Fukuechō,32.6881,128.8419,51.44,59,58,7.78,JP,1614786824
Hermanus,-34.4187,19.2345,73.99,72,0,5.01,ZA,1614786531
Mataura,-46.1927,168.8643,53.01,80,36,15.99,NZ,1614786523
Avera,33.194,-82.5271,48.2,71,90,9.22,US,1614786611
Bredasdorp,-34.5322,20.0403,82.4,36,0,14.97,ZA,1614786474
Carnarvon,-24.8667,113.6333,75.2,83,0,5.75,AU,1614786507
Cape Town,-33.9258,18.4232,78.8,47,20,12.66,ZA,1614786305
Alto Araguaia,-17.3147,-53.2153,80.91,66,45,11.23,BR,1614786649
Dikson,73.5069,80.5464,-24.27,78,31,10.16,RU,1614786613
Zvishavane,-20.3267,30.0665,70.79,73,35,6.24,ZW,1614786826
Carson City,39.1638,-119.7674,34.0,54,1,1.25,US,1614786826
Ribeira Grande,38.5167,-28.7,60.8,82,75,12.66,PT,1614786571
Amapá,1.0,-52.0,82.63,75,78,4.09,BR,1614786827
Juliaca,-15.5,-70.1333,55.4,54,40,3.44,PE,1614786827
Bilibino,68.0546,166.4372,-12.24,78,100,4.9,RU,1614786828
Paramonga,-10.6667,-77.8333,78.67,62,73,9.98,PE,1614786828
Castro,-24.7911,-50.0119,74.97,72,98,2.66,BR,1614786574
Cravo Norte,6.3017,-70.2041,94.24,31,24,11.72,CO,1614786828
Leningradskiy,69.3833,178.4167,-20.97,83,4,9.71,RU,1614786661
Khatanga,71.9667,102.5,-37.62,79,0,6.17,RU,1614786468
Yellowknife,62.456,-114.3525,-5.01,77,20,6.91,CA,1614786382
Guangzhou,23.1167,113.25,64.0,72,90,4.47,CN,1614786581
Libertador General San Martín,-23.8064,-64.7876,84.99,70,73,1.99,AR,1614786830
Lenger,42.183,69.8839,41.0,87,75,4.47,KZ,1614786738
Dhārchula,29.85,80.5333,57.45,35,60,4.7,IN,1614786830
Hilo,19.7297,-155.09,66.2,88,90,8.05,US,1614786398
Kahului,20.8947,-156.47,66.99,72,1,8.05,US,1614786628
Agadez,19.75,10.25,84.24,6,0,8.95,NE,1614786831
Bubaque,11.2833,-15.8333,78.64,68,0,11.74,GW,1614786831
Jalu,29.0331,21.5482,64.67,23,0,11.3,LY,1614786831
Port Alfred,-33.5906,26.891,72.0,89,62,4.0,ZA,1614786435
Lebu,-37.6167,-73.65,64.99,63,5,17.34,CL,1614786698
Strezhevoy,60.7333,77.5889,15.8,86,90,13.42,RU,1614786832
Ushuaia,-54.8,-68.3,51.8,62,40,3.04,AR,1614786350
Honningsvåg,70.9821,25.9704,28.4,54,75,17.27,NO,1614786445
Chervone,49.9564,28.8645,35.53,83,30,6.55,UA,1614786833
Rikitea,-23.1203,-134.9692,78.48,75,14,8.59,PF,1614786471
Saldanha,-33.0117,17.9442,75.2,53,2,14.97,ZA,1614786834
Hithadhoo,-0.6,73.0833,82.71,70,2,14.18,MV,1614786537
Coyhaique,-45.5752,-72.0662,62.6,67,75,4.61,CL,1614786834
Itarema,-2.9248,-39.9167,85.23,67,90,13.69,BR,1614786537
Souillac,-20.5167,57.5167,78.8,83,20,3.44,MU,1614786835
Quatre Cocos,-20.2078,57.7625,80.01,83,20,3.44,MU,1614786519
Upernavik,72.7868,-56.1549,25.43,97,100,23.78,GL,1614786488
Clyde River,70.4692,-68.5914,-9.4,64,20,18.41,CA,1614786600
Wanning,18.8003,110.3967,71.38,92,19,4.94,CN,1614786836
Rzhaksa,52.1338,42.0264,21.69,97,75,9.57,RU,1614786836
Tasiilaq,65.6145,-37.6368,24.8,50,75,19.57,GL,1614786537
Faanui,-16.4833,-151.75,82.63,74,93,9.15,PF,1614786837
Kabarnet,0.4919,35.743,77.0,25,75,5.75,KE,1614786837
Toamasina,-18.1667,49.3833,79.81,72,17,2.55,MG,1614786837
Dudinka,69.4058,86.1778,-20.29,76,32,9.71,RU,1614786838
São José da Coroa Grande,-8.8978,-35.1478,83.7,68,17,12.1,BR,1614786651
Vaini,-21.2,-175.2,77.0,94,75,6.91,TO,1614786474
Camacha,33.0833,-16.3333,64.4,59,20,8.05,PT,1614786526
Vardø,70.3705,31.1107,28.4,69,40,24.16,NO,1614786686
Arrondissement de Bastia,42.6667,9.3333,59.0,72,0,5.75,FR,1614786839
